id,firstname,lastname,pos,birthdate,daysalive,season,seasonid,gameid,assists,goals,sumgoals,pim,shots,games,hits,ppg,ppp,gwg,otg,shg,shp,bs,pm,pts,team,opp,date,home,win
8466138,Joe,Thornton,C,1979-07-02,6673,19971998,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Boston Bruins,Phoenix Coyotes,1997-10-08,False,True
8466138,Joe,Thornton,C,1979-07-02,6676,19971998,1,2,0,0,0,4,0,1,1,0,0,0,0,0,0,0,-1,0,Boston Bruins,San Jose Sharks,1997-10-11,False,False
8466138,Joe,Thornton,C,1979-07-02,6678,19971998,1,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,Boston Bruins,Anaheim Ducks,1997-10-13,False,True
8466138,Joe,Thornton,C,1979-07-02,6680,19971998,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Boston Bruins,Los Angeles Kings,1997-10-15,False,True
8466138,Joe,Thornton,C,1979-07-02,6682,19971998,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Boston Bruins,Vancouver Canucks,1997-10-17,False,True
8466138,Joe,Thornton,C,1979-07-02,6683,19971998,1,6,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,Boston Bruins,Calgary Flames,1997-10-18,False,True
8466138,Joe,Thornton,C,1979-07-02,6686,19971998,1,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Boston Bruins,Edmonton Oilers,1997-10-21,False,True
8466138,Joe,Thornton,C,1979-07-02,6690,19971998,1,8,0,0,0,2,0,1,5,0,0,0,0,0,0,0,0,0,Boston Bruins,Florida Panthers,1997-10-25,True,False
8466138,Joe,Thornton,C,1979-07-02,6695,19971998,1,9,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Boston Bruins,Anaheim Ducks,1997-10-30,True,False
8466138,Joe,Thornton,C,1979-07-02,6697,19971998,1,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Boston Bruins,Edmonton Oilers,1997-11-01,True,True
8466138,Joe,Thornton,C,1979-07-02,6702,19971998,1,11,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,Boston Bruins,Washington Capitals,1997-11-06,True,True
8466138,Joe,Thornton,C,1979-07-02,6704,19971998,1,12,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,Boston Bruins,New Jersey Devils,1997-11-08,False,False
8466138,Joe,Thornton,C,1979-07-02,6708,19971998,1,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,Boston Bruins,Dallas Stars,1997-11-12,False,False
8466138,Joe,Thornton,C,1979-07-02,6711,19971998,1,14,0,0,0,0,1,1,1,0,0,0,0,0,0,0,-1,0,Boston Bruins,Ottawa Senators,1997-11-15,True,False
8466138,Joe,Thornton,C,1979-07-02,6715,19971998,1,15,0,0,0,0,3,1,0,0,0,0,0,0,0,0,-1,0,Boston Bruins,Pittsburgh Penguins,1997-11-19,False,False
8466138,Joe,Thornton,C,1979-07-02,6716,19971998,1,16,0,0,0,2,0,1,1,0,0,0,0,0,0,0,-1,0,Boston Bruins,Buffalo Sabres,1997-11-20,True,False
8466138,Joe,Thornton,C,1979-07-02,6718,19971998,1,17,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,Boston Bruins,Dallas Stars,1997-11-22,True,False
8466138,Joe,Thornton,C,1979-07-02,6722,19971998,1,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2,0,Boston Bruins,Florida Panthers,1997-11-26,False,False
8466138,Joe,Thornton,C,1979-07-02,6724,19971998,1,19,0,0,0,5,1,1,0,0,0,0,0,0,0,1,-1,0,Boston Bruins,Vancouver Canucks,1997-11-28,True,False
8466138,Joe,Thornton,C,1979-07-02,6725,19971998,1,20,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,Boston Bruins,Washington Capitals,1997-11-29,True,False
8466138,Joe,Thornton,C,1979-07-02,6727,19971998,1,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Boston Bruins,Carolina Hurricanes,1997-12-01,False,False
8466138,Joe,Thornton,C,1979-07-02,6729,19971998,1,22,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,Boston Bruins,Philadelphia Flyers,1997-12-03,False,True
8466138,Joe,Thornton,C,1979-07-02,6732,19971998,1,23,0,0,1,0,2,1,2,0,0,0,0,0,0,0,-1,0,Boston Bruins,Carolina Hurricanes,1997-12-06,True,True
8466138,Joe,Thornton,C,1979-07-02,6737,19971998,1,24,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Boston Bruins,Buffalo Sabres,1997-12-11,True,True
8466138,Joe,Thornton,C,1979-07-02,6739,19971998,1,25,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-1,0,Boston Bruins,Montréal Canadiens,1997-12-13,True,True
8466138,Joe,Thornton,C,1979-07-02,6764,19971998,1,26,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Boston Bruins,Montréal Canadiens,1998-01-07,False,True
8466138,Joe,Thornton,C,1979-07-02,6765,19971998,1,27,0,0,1,0,0,1,2,0,0,0,0,0,0,0,-1,0,Boston Bruins,Phoenix Coyotes,1998-01-08,True,True
8466138,Joe,Thornton,C,1979-07-02,6769,19971998,1,28,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Boston Bruins,New Jersey Devils,1998-01-12,True,False
8466138,Joe,Thornton,C,1979-07-02,6771,19971998,1,29,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,Boston Bruins,Pittsburgh Penguins,1998-01-14,True,True
8466138,Joe,Thornton,C,1979-07-02,6778,19971998,1,30,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,Boston Bruins,Montréal Canadiens,1998-01-21,False,False
8466138,Joe,Thornton,C,1979-07-02,6781,19971998,1,31,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,Boston Bruins,Pittsburgh Penguins,1998-01-24,False,False
8466138,Joe,Thornton,C,1979-07-02,6782,19971998,1,32,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,Boston Bruins,Washington Capitals,1998-01-25,False,False
8466138,Joe,Thornton,C,1979-07-02,6784,19971998,1,33,0,1,2,0,2,1,0,0,0,1,0,0,0,0,1,1,Boston Bruins,Ottawa Senators,1998-01-27,True,True
8466138,Joe,Thornton,C,1979-07-02,6786,19971998,1,34,0,0,2,0,1,1,2,0,0,0,0,0,0,0,-1,0,Boston Bruins,Pittsburgh Penguins,1998-01-29,True,False
8466138,Joe,Thornton,C,1979-07-02,6788,19971998,1,35,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,Boston Bruins,New York Rangers,1998-01-31,True,True
8466138,Joe,Thornton,C,1979-07-02,6789,19971998,1,36,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,Boston Bruins,New York Islanders,1998-02-01,False,False
8466138,Joe,Thornton,C,1979-07-02,6792,19971998,1,37,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,Boston Bruins,Buffalo Sabres,1998-02-04,False,False
8466138,Joe,Thornton,C,1979-07-02,6793,19971998,1,38,0,1,3,0,1,1,2,0,0,0,0,0,0,0,1,1,Boston Bruins,St. Louis Blues,1998-02-05,True,False
8466138,Joe,Thornton,C,1979-07-02,6795,19971998,1,39,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,Boston Bruins,Carolina Hurricanes,1998-02-07,True,False
8466138,Joe,Thornton,C,1979-07-02,6814,19971998,1,40,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,Boston Bruins,Buffalo Sabres,1998-02-26,True,False
